ticker,exchange,avg_price_volatility_5d,avg_price_volatility_20d,max_price_volatility_5d,avg_price_momentum_5d,avg_price_momentum_20d,avg_volume_ratio,max_volume_ratio,avg_volume_volatility,volume_trend,avg_pv_correlation,min_pv_correlation,avg_hl_spread,max_hl_spread,avg_hl_spread_ratio,avg_rsi,min_rsi,max_rsi,total_return_6m,max_drawdown_6m,sharpe_ratio_6m,data_points,missing_data_pct,anomaly_score,is_anomaly,anomaly_probability
DDR.AX,ASX,0.03573871155752154,0.03871388544106087,0.0993128530367017,0.015513531172985514,0.04478221702408966,1.1231450265387304,12.10325554341743,1804019.9285141316,6.0768250887591675,-0.04288294855156532,-0.9543664344872121,0.057935460984453985,0.1790234599561568,0.9919004847920746,52.58091168792459,11.880444807412985,87.09635746517282,0.4072951060987522,-0.33521639541734366,0.09018790723734527,120,0.0,0.09189926547597221,False,0.05436126601295177
AR,NYQ,0.05664505417037731,0.05958418599261884,0.11440530169599887,0.02489601367006809,0.0931301677748832,0.9920175512544828,2.183609191216344,5923133.998457725,0.9119670808924488,0.08374693722641498,-0.6837645757043553,0.08164555833365693,0.282725622932328,0.9904780660248621,53.03883053052582,11.910111460577326,88.80179209601589,0.3721232930658893,-0.3138733934622544,0.08558679920444115,120,0.0,0.09190317878402599,False,0.05435244292787411
DBX,NMS,0.03555600195017051,0.039931592191616676,0.11488265841331383,0.012864016312264406,0.05858587573516975,0.983135949080036,2.436077208315827,5711942.936741624,1.0101012165616996,-0.009694707257500068,-0.8300067494928274,0.05675464042195601,0.344696988997686,1.002667377376431,55.783254877713865,17.05101537314853,92.2077743681713,0.055118084332557826,-0.35977081906129227,0.035592862873044834,120,0.0,0.09190844818489308,False,0.05434056234716855
TTM.AX,ASX,0.0942498029980612,0.10177691019480589,0.21709900375918945,0.022195781437860877,0.00699539925878127,1.2219873227489677,6.381841958829531,1593600.8848555263,6.596694030332894,0.16218874329737332,-0.8202137213915867,0.15368607730302306,0.44117561908260067,0.9952614456582293,46.81156075169695,15.663239673798955,73.68421382851196,0.023936372682438423,-0.7249999784325278,0.05428322564702328,120,0.0,0.09191121269013663,False,0.05433432939422278
EGG.AX,ASX,0.05420082334592736,0.0595724744201634,0.18165502173657097,-0.01486102005611563,-0.08852263336249352,0.9249642084517878,6.27088084669071,588100.5061578656,0.40760682751080346,-0.14152409475973945,-0.8168652462015965,0.08660981607420594,0.3020833624371645,0.9820921557449901,44.12967507644157,8.849580923590267,80.72917685381748,-0.4107731803537569,-0.6284036241927492,-0.031693026675346944,120,0.0,0.09191136884452428,False,0.05433397732292433
ABY.AX,ASX,0.0597386291502646,0.06417426203435113,0.19113102725438516,0.018657006889282585,0.007902003362734222,1.0165597727572684,10.89803724033329,420955.90204555105,2.34180480900443,0.029120451751602192,-0.6971081627956974,0.09246869655290922,0.27748696327810823,0.9998916314080019,46.584445280617544,12.711870485390861,91.60305274046219,0.33437497415579887,-0.5535714209687952,0.06260622373319528,120,0.0,0.09191376883777891,False,0.05432856621181825
HRTG,NYQ,0.09026648075259411,0.1060858896341854,0.20958610393300936,0.1082992384409231,0.4204639854956412,1.1328828986442696,3.246690469651195,881301.1821169849,3.4860636097456146,0.11233095907734647,-0.7508329589859488,0.13345801894968598,0.43680988788299974,0.9998583290454498,58.96969940677397,26.694913884409004,87.50623986929756,5.581818384488053,-0.41314551888570716,0.19676377160797212,120,0.0,0.09191924786927635,False,0.05431621299035427
BFAM,NYQ,0.03794219959041004,0.044472231971453044,0.11158574100273583,0.01164481469357744,0.07262912249897709,1.0304215228965774,2.9448860692304777,736683.5744036742,1.756688249814723,0.1206256920387965,-0.9060121243551104,0.058966355747880075,0.18365767128595173,0.9930731392157365,54.879643764967184,24.359372448746242,94.16411909177322,0.05548950840619837,-0.30656622381624565,0.03666975203667543,120,0.0,0.09192924647252548,False,0.054293669779875375
HVN.AX,ASX,0.032337736275759546,0.03359316302873183,0.0598780026716137,0.04140136212138989,0.12307695487940071,0.9515479593935879,2.8522200204270662,4165433.1642297124,0.6858113105702932,0.008077690614060737,-0.6996056505975401,0.048525254565060204,0.1378810311337298,0.9839541451682974,61.34482750014486,28.18744869381152,90.28570527881979,1.4142175654131757,-0.17425744045092614,0.2353739022497276,120,0.0,0.09193548519612926,False,0.054279603729266546
ARIS,NYQ,0.07788614838641054,0.0862890352205406,0.21784878249682402,0.056217713306219934,0.23928892147058742,1.131995201575785,3.039186749506845,1027620.6499416195,6.953432205003236,0.2638319300852179,-0.5799921086731822,0.10796544774926345,0.35712029034435433,0.976269285302147,57.68461393604323,29.958346787152138,90.98736627360745,1.3988011638620517,-0.379054621996192,0.13679726928430194,120,0.0,0.09194560672030594,False,0.0542567833768437
ATC.AX,ASX,0.07988254807108675,0.08934116626133885,0.2990124954952836,-0.019057436437910396,-0.12160789408081644,1.0816173457612739,5.4074791133246185,5990152.571082125,1.2549656578589425,-0.12814968583863798,-0.9056735054692132,0.11672212543363315,0.5624999708961698,1.0194156524506746,40.10050098340542,14.102555530232067,82.05127641803637,-0.37056332385643953,-0.6619694227582481,0.011603648657613586,120,0.0,0.09195441432628582,False,0.05423692543164149
OML.AX,ASX,0.038739347933349114,0.044748384349906786,0.07981472031266151,0.016785422579773664,0.05647306799807956,0.9439264205141461,4.977997599076698,2994546.756634491,1.0933324174314876,0.12956478361109033,-0.877896977031475,0.0684045350282483,0.16279073205964825,0.9878051410557674,53.812113849827284,15.441181490057971,86.17017057818681,0.20904448875087067,-0.36608939088119,0.06947336045092282,120,0.0,0.09199110678106137,False,0.05415419730348381
BIPC,NYQ,0.037018580757531304,0.040851352809010005,0.11869948830558436,0.004585899353705612,0.015966020378653675,1.0494443541758776,3.337266063975696,910483.2223247121,1.3806496040935237,-0.12927504672398976,-0.8438073482431991,0.06437236262237021,0.201828874454417,1.0001225570026504,52.17651519053123,6.173892627525987,87.96385876760722,0.09503172533632886,-0.4421054961655014,0.04072727907638285,120,0.0,0.09202878966799344,False,0.054069236111365826
