ticker,exchange,avg_price_volatility_5d,avg_price_volatility_20d,max_price_volatility_5d,avg_price_momentum_5d,avg_price_momentum_20d,avg_volume_ratio,max_volume_ratio,avg_volume_volatility,volume_trend,avg_pv_correlation,min_pv_correlation,avg_hl_spread,max_hl_spread,avg_hl_spread_ratio,avg_rsi,min_rsi,max_rsi,total_return_6m,max_drawdown_6m,sharpe_ratio_6m,data_points,missing_data_pct,anomaly_score,is_anomaly,anomaly_probability
CTTRF,PNK,0.006556073199954877,0.013112146399909754,0.15734575679891705,0.014659825340563676,0.0586393013622547,1.9047619047619047,20.0,44957.04740206046,inf,1.0,1.0,833.3271414171279,99998.99670486186,9.999765765072118,100.0,100.0,100.0,0.3518358081735282,0.0,0.09128709291752765,120,0.11413043478260869,-0.3275204319538763,True,1.0
EVTWF,PNK,0.0,0.0,0.0,0.0,0.0,20.0,20.0,11.858541225631424,inf,,,0.008074324327158882,0.9689189192590659,10.0,,,,0.0,0.0,0.0,120,0.13007246376811593,-0.32418483346521815,True,0.9924794396848007
BKGM,PNK,19.421039394445692,33.63240544734843,273.4960880433618,12.090157182505733,-4.830526205520624,1.8822459681487358,20.0,25.653970245213262,inf,-0.033313593983533195,-0.7355443526371569,12.531025770400873,499.0,0.6401496483725206,74.13931734040253,2.502135611840572,100.0,-285.9687576919876,-0.2889844809753355,0.13841265027308075,120,0.04963768115942029,-0.32143553590127777,True,0.9862807745204086
DBVTF,PNK,0.0398444318791491,0.06870554202950764,0.48768401063455563,-0.08607413003328333,-0.28351699023845817,1.0632885632885634,20.0,26359.81370325386,inf,-0.996215748982545,-1.0000000000000002,233.3716969127659,27999.000230502344,9.980642054133103,0.0,0.0,0.0,-0.9999642857145797,-0.9999642857145797,-0.15760987789799058,120,0.08659420289855073,-0.3126117462683005,True,0.966386341071936
GNVR,PNK,36.26790110405704,21.941259965598896,1117.58680339831,120.8115041295202,143.62668054341046,1.7710965399992904,20.0,1562.962660157544,54.65,-0.5380582529791884,-1.000000000000003,0.10262464472489052,1.907142901542236,1.1323812999474556,15.799111501524008,0.0,100.0,-0.5,-0.9999500000012631,0.10164401090056385,98,0.09006211180124224,-0.3097197054719632,True,0.9598658418821125
ARQQW,NCM,0.004946545041619136,0.0076052318970081575,0.5935854049942964,0.011060810966824914,-0.011890009079070011,20.0,20.0,603.241356916487,inf,1.0,1.0,0.007063639406973367,0.8476367288368041,10.0,50.0,0.0,100.0,1.3272973160189898,0.0,0.09128709291752768,120,0.1289855072463768,-0.30830857972093834,True,0.956684267013615
GFSAY,PNK,3.5533698938722565e-07,9.636803327587624e-07,5.40052124793354e-06,7.94557663189958e-07,4.309709465259252e-06,,,0.0,,,,0.008333304456733859,0.999996534808063,10.0,100.0,100.0,100.0,2.1841686833390384e-05,0.0,0.1427160623861587,120,0.11775362318840579,-0.3058491725548235,True,0.9511391991658836
HCIIP,PNK,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.008333333333333333,1.0,10.0,,,,0.0,0.0,0.0,120,0.13043478260869565,-0.30346604938617266,True,0.9457661239623397
GCGJ,PNK,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.008333333333333333,1.0,10.0,,,,0.0,0.0,0.0,120,0.13043478260869565,-0.30346604938617266,True,0.9457661239623397
FKURF,PNK,0.8071330401996711,1.5086169494720627,14.97291795490658,1.6049879835457774,8.87696725727025,1.2011191925623133,14.545454545454545,2726.4912446624844,1.0036,0.2682696823359026,-0.9881593347046769,0.04508981361460995,0.3880925713920407,1.0114726291369884,51.874036277476584,0.0,100.0,-952.5172015846796,-74.65912828545562,0.09670601935058501,120,0.0018115942028985507,-0.29927041071932453,True,0.9363064861305972
